CODIGOTF,TIPOSDEFARMACOS,CODIGOPA,PRINCIPIOSACTIVOS,CARACTERISTICA,CODIGONC,NOMBRESCOMERCIALES,indicacion,POSOLOGIA   
1,NULL,1.9,KETOPROFENO,"Indicaciones:Artritis reumatoidea, osteoartritis, espondilitis anquilo­san­te, gota (episodios agudos), dolor asociado a inflamación, dolor dental, traumatismos, dolor posquirúrgico, esguinces, tendinitis, bursitis, tortícolis y dismenorrea. Contraindicaciones: En pacientes alérgicos al KETOPRO­FENO, al ácido acetilsa­licílico y a otros antiinflamatorios no esteroideos (incluyendo aquellos casos de historia de asma, angioedema, pólipos nasales, urticaria o rinitis precipitados por AINEs), así como los afectados por trastornos gastrointestinales (úlcera gastroduodenal, colitis ulcerosa, etc.) coagulo­patías o hemorragia.Deberán tenerse especiales precauciones en pacientes con insuficiencia renal, insuficiencia cardiaca, hiperten­siónenfermedad tiroidea o insuficiencia hepáica.No administrar en pacientes menores de 2 años.",1.9.1,KETESSE 25 MG COMPRIMIDO (DESKETOPROFENO + TROMETAMOL),"Dolor de intensidad leve-moderada (musculoesquelético, dismenorrea, odontalgia).Contraindicado:Hipersensibilidad al dexketoprofeno o a otro AINE. Historial de ataques de asma, broncoespasmo, rinitis aguda, o causan pólipos nasales, urticaria o edema angioneurótico por AAS u otros AINE",KETESSE 25 MG  CADA 8 HORAS
1,NULL,1.9,NULL,NULL,1.9.2,KETESSE 50 MG SOLUCION INYECTABLE ( DESKETOPROFENO),"Dolor de intensidad leve-moderada (musculoesquelético, dismenorrea, odontalgia).Contraindicado:Hipersensibilidad al dexketoprofeno o a otro AINE. Historial de ataques de asma, broncoespasmo, rinitis aguda, o causan pólipos nasales, urticaria o edema angioneurótico por AAS u otros AINE",KETESSE 50 MG CADA 12 HORAS
1,NULL,1.10,KETOROLACO,"Indicaciones:Tratamiento a corto plazo del dolor leve a moderado en el postoperatorio y en traumatismos musculosqueléticos; dolor causado por el cólico nefrítico.Contraindicaciones: Pacientes con úlcera gastro­duodenal activa, hemorragia digestiva reciente o antece­den­tes de úlcera gastroduodenal o hemorragia digestiva, pacientes con insuficiencia renal moderada o grave y en los pacientes con riesgo de insuficiencia renal por hipovolemia o deshidratación, durante el parto, en pacientes con hiper­sensibilidad demostrada al Ketorolaco u otros AINEs, así como en pacientes con antecedentes de alergia al ácido acetilsalicílico u otros inhibidores de la sínte­sis de prosta­glandinas pues se han descrito reacciones anafilactoides graves en estos pacientes.",1.10.1,ALTROM 10 MG COMPRIMIDO SUBLINGUAL ( KETOROLACO),"Indicado en todo tipo de dolor de origen inflamatorio o postquirúrgico, para uso por períodos cortos de tiempo. Con una amplia indicación en todas las especialidades médicas que requieren del uso de un analgésico potente. Dolor músculo-esquelético, dolor dental, dolor lumbar, cólico menstrual.Contraindicaciones:Hipersensibilidad al ketorolaco trometamol u otros AINES; úlcera péptica activa; antecedente de ulceración, sangrado o perforación gastrointestinal; síndrome completo o parcial de pólipos nasales, angioedema o broncoespasmo; insuficiencia cardíaca grave; Insuficiencia Renal moderada a severa; hipovolemia o deshidratación; diátesis hemorrágica y trastornos de la coagulación, hemorragia cerebral; intervenciones quirúrgicas con alto riesgo hemorrágico o hemostasis incompleta; no debe utilizarse asociado con otros AINE",ALTROM 10 MG SUBLINGUAL CADA 8 HORAS
1,NULL,1.10,NULL,NULL,1.10.2,ALTROM 20 MG COMPRIMIDO SUBLINGUAL (KETOROLACO),"Indicado en todo tipo de dolor de origen inflamatorio o postquirúrgico, para uso por períodos cortos de tiempo. Con una amplia indicación en todas las especialidades médicas que requieren del uso de un analgésico potente. Dolor músculo-esquelético, dolor dental, dolor lumbar, cólico menstrual.Contraindicaciones:Hipersensibilidad al ketorolaco trometamol u otros AINES; úlcera péptica activa; antecedente de ulceración, sangrado o perforación gastrointestinal; síndrome completo o parcial de pólipos nasales, angioedema o broncoespasmo; insuficiencia cardíaca grave; Insuficiencia Renal moderada a severa; hipovolemia o deshidratación; diátesis hemorrágica y trastornos de la coagulación, hemorragia cerebral; intervenciones quirúrgicas con alto riesgo hemorrágico o hemostasis incompleta; no debe utilizarse asociado con otros AINE",ALTROM 20 MG SUBLINGUAL CADA 8 HORAS
1,NULL,1.10,NULL,NULL,1.10.3,ALTROM 10 MG COMPRIMIDO (KETOROLACO),"Indicado en todo tipo de dolor de origen inflamatorio o postquirúrgico, para uso por períodos cortos de tiempo. Con una amplia indicación en todas las especialidades médicas que requieren del uso de un analgésico potente. Dolor músculo-esquelético, dolor dental, dolor lumbar, cólico menstrual.Contraindicaciones:Hipersensibilidad al ketorolaco trometamol u otros AINES; úlcera péptica activa; antecedente de ulceración, sangrado o perforación gastrointestinal; síndrome completo o parcial de pólipos nasales, angioedema o broncoespasmo; insuficiencia cardíaca grave; Insuficiencia Renal moderada a severa; hipovolemia o deshidratación; diátesis hemorrágica y trastornos de la coagulación, hemorragia cerebral; intervenciones quirúrgicas con alto riesgo hemorrágico o hemostasis incompleta; no debe utilizarse asociado con otros AINE",ALTROM 10 MG CADA 8 HORAS
1,NULL,1.10,NULL,NULL,1.10.4,ALTROM 20 MG COMPRIMIDO (KETOROLACO),"Indicado en todo tipo de dolor de origen inflamatorio o postquirúrgico, para uso por períodos cortos de tiempo. Con una amplia indicación en todas las especialidades médicas que requieren del uso de un analgésico potente. Dolor músculo-esquelético, dolor dental, dolor lumbar, cólico menstrual.Contraindicaciones:Hipersensibilidad al ketorolaco trometamol u otros AINES; úlcera péptica activa; antecedente de ulceración, sangrado o perforación gastrointestinal; síndrome completo o parcial de pólipos nasales, angioedema o broncoespasmo; insuficiencia cardíaca grave; Insuficiencia Renal moderada a severa; hipovolemia o deshidratación; diátesis hemorrágica y trastornos de la coagulación, hemorragia cerebral; intervenciones quirúrgicas con alto riesgo hemorrágico o hemostasis incompleta; no debe utilizarse asociado con otros AINE",ALTROM 20 MG CADA 8 HORAS
1,NULL,1.10,NULL,NULL,1.10.5,ALTROM 30 MG SOLUCION INYECTABLE (KETOROLACO),"Indicado en todo tipo de dolor de origen inflamatorio o postquirúrgico, para uso por períodos cortos de tiempo. Con una amplia indicación en todas las especialidades médicas que requieren del uso de un analgésico potente. Dolor músculo-esquelético, dolor dental, dolor lumbar, cólico menstrual.Contraindicaciones:Hipersensibilidad al ketorolaco trometamol u otros AINES; úlcera péptica activa; antecedente de ulceración, sangrado o perforación gastrointestinal; síndrome completo o parcial de pólipos nasales, angioedema o broncoespasmo; insuficiencia cardíaca grave; Insuficiencia Renal moderada a severa; hipovolemia o deshidratación; diátesis hemorrágica y trastornos de la coagulación, hemorragia cerebral; intervenciones quirúrgicas con alto riesgo hemorrágico o hemostasis incompleta; no debe utilizarse asociado con otros AINE",ALTROM 30 MG CADA 12 HORAS
1,NULL,1.10,NULL,NULL,1.10.6,ALTROM 60 MG SOLUCION INYECTABLE (KETOROLACO),"Indicado en todo tipo de dolor de origen inflamatorio o postquirúrgico, para uso por períodos cortos de tiempo. Con una amplia indicación en todas las especialidades médicas que requieren del uso de un analgésico potente. Dolor músculo-esquelético, dolor dental, dolor lumbar, cólico menstrual.Contraindicaciones:Hipersensibilidad al ketorolaco trometamol u otros AINES; úlcera péptica activa; antecedente de ulceración, sangrado o perforación gastrointestinal; síndrome completo o parcial de pólipos nasales, angioedema o broncoespasmo; insuficiencia cardíaca grave; Insuficiencia Renal moderada a severa; hipovolemia o deshidratación; diátesis hemorrágica y trastornos de la coagulación, hemorragia cerebral; intervenciones quirúrgicas con alto riesgo hemorrágico o hemostasis incompleta; no debe utilizarse asociado con otros AINE",ALTROM 60 MG CADA 24 HORAS
1,NULL,1.11,MELOXICAN ,"Indicaciones:Osteoartritis, dolor e inflamación a consecuencia de traumatismos y gota,Artritis reumatoide.Periartritis de las articulaciones escapulohumeral y coxofemoral.Distensiones musculares.Procesos inflamatorios en tejidos blandos en vías respiratorias y en ginecología, por ejemplo, dismenorrea primaria.Contraindicaciones: Hipersensibilidad al principio activo o a cualquiera de los componentes del producto. Tampoco deberá administrarse en pacientes que tenganantecedentes de hipersensibilidad a los AINEs, lo cual se puede manifestar con ataques de asma, angioedema o urticaria.Su uso durante el embarazo y la lactancia está contraindicado",1.11.1,LAMOCOX  7.5 MG TABLETA (MELOXICAN),"Indicado para el tratamiento de todos aquellos procesos inflamatorios acompañados o no de dolor y fiebre.Sean estos agudos o crónicos.Contraindicaciones:Hipersensibilidad conocida o sospechada al Meloxicam, debe administrarse bajo vigilancia a pacientes con hipersensibilidad a antiinflamatorios de otras familias.",LAMOCOX  7.5 MG CADA 12 HORAS
1,NULL,1.11,NULL,NULL,1.11.2,LAMOCOX  15 MG TABLETAS (MELOXICAN),"Indicado para el tratamiento de todos aquellos procesos inflamatorios acompañados o no de dolor y fiebre.Sean estos agudos o crónicos.Contraindicaciones:Hipersensibilidad conocida o sospechada al Meloxicam, debe administrarse bajo vigilancia a pacientes con hipersensibilidad a antiinflamatorios de otras familias.",LAMOCOX  15 MG CADA 24 HORAS
1,NULL,1.12,CELECOXIB,"Indicaciones:Alivio sintomático en el tto. de artrosis, artritis reumatoide y espondilitis anquilosante.Contraindicaciones:Hipersensibilidad al celecoxib, a las sulfamidas; ulceración péptica activa o hemorragia gastrointestinal; pacientes que hayan experimentado asma, rinitis aguda, pólipos nasales, edema angioneurótico, urticaria u otras reacciones de tipo alérgico ",1.12.1,CELEBREX 100 MG CAPSULA ( CELECECOXIB),"Analgésico, Antiinflamatorio Contraindicado:Hipersensibilidad a los antiinflamatorios no esteroideos o a cualquiera de sus componentes. Broncoespasmo, rinitis aguda, pólipos nasales y edema angioneurótico. Úlcera péptica activa o sangrado gastrointestinal y antecedentes de enfermedad ácido péptica. Alergia a las sulfonamidas, disfunción hepática moderada y severa. Insuficiencia renal grave, embarazo en especial en el tercer trimestre, lactancia.",CELEBREX 100 MG CADA 8 HORAS
1,NULL,1.12,NULL,NULL,1.12.2,CELEBREX 200 MG CAPSULA ( CELECECOXIB),"Analgésico, Antiinflamatorio Contraindicado:Hipersensibilidad a los antiinflamatorios no esteroideos o a cualquiera de sus componentes. Broncoespasmo, rinitis aguda, pólipos nasales y edema angioneurótico. Úlcera péptica activa o sangrado gastrointestinal y antecedentes de enfermedad ácido péptica. Alergia a las sulfonamidas, disfunción hepática moderada y severa. Insuficiencia renal grave, embarazo en especial en el tercer trimestre, lactancia.",CELEBREX 200 MG CADA 8 HORAS
1,NULL,1.12,NULL,NULL,1.12.3,DOLOCOX 100 MG  TABLETA ( CELECOXIB),"Indicado en tratamiento del dolor agudo y dismenorrea primaria.Osteoartritis y espondilitis anquilosante.Artritis reumatoide.Contraindicado:Antecedentes de hipersensibilidad al celecoxib o a las sulfonamidas; antecedentes de asma, urticaria o reacciones alérgicas producidas por la administración de aspirina u otros AINES; insuficiencia renal grave.",DOLOCOX 100 MG CADA 8 HORAS
1,NULL,1.12,NULL,NULL,1.12.4,DOLOCOX 200 MG  TABLETA ( CELECOXIB),"Indicado en tratamiento del dolor agudo y dismenorrea primaria.Osteoartritis y espondilitis anquilosante.Artritis reumatoide.Contraindicado:Antecedentes de hipersensibilidad al celecoxib o a las sulfonamidas; antecedentes de asma, urticaria o reacciones alérgicas producidas por la administración de aspirina u otros AINES; insuficiencia renal grave.",DOLOCOX 100 MG CADA 8 HORAS
1,NULL,1.13,PIROXICAM,"Indicaciones:indicado para el uso agudo o crónico en el alivio de los signos y síntomas de osteoartritis y artritis reumatoidea, espondilitis anquilosante y artritis reumatoidea juvenil, bursitis, capsulitis, tendinitis, miosi­tis, lumbalgia, ciática, hombro-doloroso, cervicalgias, sinovitis, dolor postraumático, dismenorrea primaria, ataques agudos de gota.",1.13.1,FELDENE 20 MG TABLETA (PIROXICAM),"Indicado artritis reumatoide, artritis reumatoide juvenil, osteoartritis (artrosis, enfermedad articular degenerativa), espondilitis anquilosante, trastornos musculoesqueléticos agudos, gota aguda, dolor después de intervención quirúrgica y de traumatismo agudo, para el tratamiento de la dismenorrea primaria.Contraindicado:hipersensibilidad al piroxicam o a cualquiera de los excipientes. Existe el potencial de sensibilidad cruzada con la aspirina y otros AINES. No se debe dar piroxicam a los pacientes en quienes la aspirina y otros AINES inducen los síntomas del asma, pólipos nasales, angioedema o urticaria. Tratamiento del dolor perioperatorio en el escenario de la cirugía de derivación coronaria con injerto (CABG). Pacientes con insuficiencias renal y hepática graves. Pacientes con insuficiencia cardiaca grave.",FELDENE 20 MG CADA 24 HORAS
1,NULL,1.13,NULL,NULL,1.13.2,FELDENE 20 MG CAPSULA (PIROXICAM),"Indicado artritis reumatoide, artritis reumatoide juvenil, osteoartritis (artrosis, enfermedad articular degenerativa), espondilitis anquilosante, trastornos musculoesqueléticos agudos, gota aguda, dolor después de intervención quirúrgica y de traumatismo agudo, para el tratamiento de la dismenorrea primaria.Contraindicado:hipersensibilidad al piroxicam o a cualquiera de los excipientes. Existe el potencial de sensibilidad cruzada con la aspirina y otros AINES. No se debe dar piroxicam a los pacientes en quienes la aspirina y otros AINES inducen los síntomas del asma, pólipos nasales, angioedema o urticaria. Tratamiento del dolor perioperatorio en el escenario de la cirugía de derivación coronaria con injerto (CABG). Pacientes con insuficiencias renal y hepática graves. Pacientes con insuficiencia cardiaca grave.",FELDENE 20 MG CADA 24 HORAS
1,NULL,1.13,NULL,NULL,1.13.3,FELDENE FLASH 20 MG TABLETA (PIROXICAM),"Indicado artritis reumatoide, artritis reumatoide juvenil, osteoartritis (artrosis, enfermedad articular degenerativa), espondilitis anquilosante, trastornos musculoesqueléticos agudos, gota aguda, dolor después de intervención quirúrgica y de traumatismo agudo, para el tratamiento de la dismenorrea primaria.Contraindicado:hipersensibilidad al piroxicam o a cualquiera de los excipientes. Existe el potencial de sensibilidad cruzada con la aspirina y otros AINES. No se debe dar piroxicam a los pacientes en quienes la aspirina y otros AINES inducen los síntomas del asma, pólipos nasales, angioedema o urticaria. Tratamiento del dolor perioperatorio en el escenario de la cirugía de derivación coronaria con injerto (CABG). Pacientes con insuficiencias renal y hepática graves. Pacientes con insuficiencia cardiaca grave.",FELDENE FLASH 20 MG CADA 24 HORAS
1,NULL,1.13,NULL,NULL,1.13.4,FELDENE 40 MG SOLUCION INYECTABLE (PIROXICAM),"Indicado artritis reumatoide, artritis reumatoide juvenil, osteoartritis (artrosis, enfermedad articular degenerativa), espondilitis anquilosante, trastornos musculoesqueléticos agudos, gota aguda, dolor después de intervención quirúrgica y de traumatismo agudo, para el tratamiento de la dismenorrea primaria.Contraindicado:hipersensibilidad al piroxicam o a cualquiera de los excipientes. Existe el potencial de sensibilidad cruzada con la aspirina y otros AINES. No se debe dar piroxicam a los pacientes en quienes la aspirina y otros AINES inducen los síntomas del asma, pólipos nasales, angioedema o urticaria. Tratamiento del dolor perioperatorio en el escenario de la cirugía de derivación coronaria con injerto (CABG). Pacientes con insuficiencias renal y hepática graves. Pacientes con insuficiencia cardiaca grave.",FELDENE 40 MG CADA 24 HORAS
1,NULL,1.14,NIMESULIDA,"Indicaciones:indicado para el uso agudo o crónico en el alivio de los signos y síntomas de osteoartritis y artritis reumatoidea, espondilitis anquilosante y artritis reumatoidea juvenil, bursitis, capsulitis, tendinitis, miosi­tis, lumbalgia, ciática, hombro-doloroso, cervicalgias, sinovitis, dolor postraumático, dismenorrea primaria, ataques agudos de gota. Contraindicaciones: Hipersensibilidad al PIROXICAM o algún otro AINE, inclu­yendo ácido ­acetilsalicílico.Individuos con síndrome de broncospasmo, pólipos nasa­les, rinitis, angioedema precipitado por ácido acetilsa­licílico u otro antiinflamatorio no esteroideo.Enfermedad ulcerosa acidopéptica gástrica y/o duodenal.Gota crónica. Insuficiencia hepática y/o renal.",1.14.1,ALGIFENO 100 MG TABLETA (NIMESULIDA),"Indicado en dismenorrea, dolores odontológicos, traumatismos, artritis reumatoidea, osteoartritis, bursitis, y en todos los procesos que cursen con inflación, dolor y fiebre.Contraindicado:Hipersensibilidad a otros AINES, hemorragia grave, insuficiencia renal, primer trimestre del embarazo, lactancia.",ALGIFENO 100 MG CADA 12 HORAS
2,ANTIBIOTICOS,2.1,AMOXICILINA ,"Es una penicilina semisintética, sensible a la penicilinasa de amplio espectro, es bactericida y actúa inhibiendo la biosíntesis del mucopéptido de la pared celular bacteriana.Guarda parentesco clínico y farmacológico con la ampicilina. Es estable en ácido por lo que es adecuado para consumo oral.En comparación con la ampicilina u absorción es más rápida y completa. Lo alimentos no inerfieren con su absorcón.AMOXICILINA está indicada en el tratamient de las infecciones debidas a cepas susceptibles de los siguientes microorganismos:Gramnegativos: H. influenzae, coli, P. mirabilis y N. gonorrhoeae.Grampositivos: Estreptococos (incluyendo Streptoco­ccus faecalis), D. pneumoniae y estafi­lococos no productores de penicilinasa.Otros: Proteus mirabilis, Salmonella, Shigella.",2.1.1,AMOXIPEN 500 MG CAPSULA ( AMOXICILINA),"Bactericida. Inhibe la acción de peptidasas y carboxipeptidasas impidiendo la síntesis de la pared celular bacteriana.INDICACIONES:Infecciones causadas por cepas sensibles como: infecciones de garganta, nariz y oídoS ; infecciones del tracto respiratorio inferior ; infecciones del tracto genito-urinario sin complicaciones urológicas (cistitis y uretritis); infecciones de la piel y tejidos blandos ; infecciones en odonto-estomatología; infecciones del tracto biliar; enf. o borreliosis de Lyme: en el tto. de la infección precoz localizada (primer estadío o eritema migratorio localizado) y de la infección diseminada o segundo estadío; fiebres tifoidea y paratifoidea (especialmente indicado para el tto. de los portadores biliares crónicos); tto. de erradicación de Helicobacter pylori en asociación con IBP y en su caso a otros antibióticos: úlcera péptica y linfoma gástrico de tejido linfoide asociado a mucosa, de bajo grado; profilaxis de endocarditis producida por bacteriemia post-manipulación/extracción dental tto.. y profilaxis de septicemia, endocarditis, meningitis, pielonefritis y ciertas neuropatías.CONTRAINDICACIONES:Hipersensibilidad a ß-lactámicos; antecedentes de una reacción de hipersensibilidad inmediata grave (ej. anafilaxis) a otro agente ß-lactámico (p. ej. cefalosporina, carbapenem o monobactam).",AMOXIPEN 500 MG CADA 12 HORAS
2,NULL,2.1,NULL,NULL,2.1.2,ODONTOCILINA 500 MG (AMOXICILINA),NULL,ODONTOCILINA 500 MG CADA 8 HORAS
2,NULL,2.1,NULL,NULL,2.1.3,AMOXICILINA GA 500 MG CAPSULA(AMOXICILINA),"Indicaciones:infecciones de oidos,nariz y garganta, infecciones del tracto respiratorio inferior, infecciones del las vias orinarias, infecciones de la piel y tejidos blandos, infecciones gonocoticas no complicada de la uretra, cervix y recto, prevencion de endocarditis bacteriana en procedimientos oral, dental y en el tracto respiratorio.contraindicaciones:hipersencibilidad a las penisilinas",AMOXICILINA GA 500 MG CADA 12 HORAS
2,NULL,2.1,NULL,NULL,2.1.4,AMOXICICLINA GENFAR 500 CAPSULA ( AMOXICILINA),"Indicaciones:infecciones de oidos,nariz y garganta, infecciones del tracto respiratorio inferior, infecciones del las vias orinarias, infecciones de la piel y tejidos blandos, infecciones gonocoticas no complicada de la uretra, cervix y recto, prevencion de endocarditis bacteriana en procedimientos oral, dental y en el tracto respiratorio.contraindicaciones:hipersencibilidad a las penisilinas",AMOXICICLINA GENFAR 500 CADA 8 HORAS 
2,NULL,2.1,NULL,NULL,2.1.5,AMOXICICLINA GENFAR 125 MG SUSPENSION (AMOXICILINA),"Indicaciones:infecciones de oidos,nariz y garganta, infecciones del tracto respiratorio inferior, infecciones del las vias orinarias, infecciones de la piel y tejidos blandos, infecciones gonocoticas no complicada de la uretra, cervix y recto, prevencion de endocarditis bacteriana en procedimientos oral, dental y en el tracto respiratorio.contraindicaciones:hipersencibilidad a las penisilinas",AMOXICICLINA GENFAR 125 MG CADA 8 HORAS
2,NULL,2.2,AMOXICILINA + CLAVULANICO,"Bactericida. Bloquea síntesis de pared celular bacteriana e inhibe ß-lactamasas. Amplio espectro.Asociación de penicilina semisintética (bactericida, amplio espectro) y de molécula inhibidora de ß- lactamasas, transforma en sensibles a amoxicilina a gérmenes productores de ß- lactamasas.",2.2.1,AUMENTIN 625 MG TABLETAS ( AMOXI +CLAV),"Indicaciones:Augmentine se utiliza en niños y adultos para tratar las siguientes infecciones:Infecciones del oído medio y de los senos nasales Infecciones del tracto respiratorio Infecciones del tracto urinarioInfecciones de la piel y tejidos blandos incluyendo infecciones dentales. Infecciones de huesos y articulacione Contraindicaciones:Hipersensibilidad a amoxicilina o ác. clavulánico; antecedente de hipersensibilidad a ß-lactámicos (penicilinas, cefalosporinas, carbapenem, monobactam); antes de iniciar tto. investigar reacción alérgica previa. Mononucleosis infecciosa y leucemia linfoide (mayor riesgo de exantema). I.H. grave, antecedente de ictericia o antecedente de I.H. grave con tto. previo.",AUMENTIN 625 MG CADA12 HORAS
2,NULL,2.2,NULL,NULL,2.2.2,AUMENTIN 1 G  TABLETAS ( AMOXI +CLAV),"Indicaciones:Augmentine se utiliza en niños y adultos para tratar las siguientes infecciones:Infecciones del oído medio y de los senos nasales Infecciones del tracto respiratorio Infecciones del tracto urinarioInfecciones de la piel y tejidos blandos incluyendo infecciones dentales. Infecciones de huesos y articulacione Contraindicaciones:Hipersensibilidad a amoxicilina o ác. clavulánico; antecedente de hipersensibilidad a ß-lactámicos (penicilinas, cefalosporinas, carbapenem, monobactam); antes de iniciar tto. investigar reacción alérgica previa. Mononucleosis infecciosa y leucemia linfoide (mayor riesgo de exantema). I.H. grave, antecedente de ictericia o antecedente de I.H. grave con tto. previo.",AUMENTIN 1 G CADA 12 HORAS
2,NULL,2.2,NULL,NULL,2.2.3,AUMENTIN 600 MG SUSPENSION ( AMOXI +CLAV),"Indicaciones:Augmentine se utiliza en niños y adultos para tratar las siguientes infecciones:Infecciones del oído medio y de los senos nasales Infecciones del tracto respiratorio Infecciones del tracto urinarioInfecciones de la piel y tejidos blandos incluyendo infecciones dentales. Infecciones de huesos y articulacione Contraindicaciones:Hipersensibilidad a amoxicilina o ác. clavulánico; antecedente de hipersensibilidad a ß-lactámicos (penicilinas, cefalosporinas, carbapenem, monobactam); antes de iniciar tto. investigar reacción alérgica previa. Mononucleosis infecciosa y leucemia linfoide (mayor riesgo de exantema). I.H. grave, antecedente de ictericia o antecedente de I.H. grave con tto. previo.",AUMENTIN 600 MG CADA 12 HORAS
2,NULL,2.2,NULL,NULL,2.2.4,AUMENTIN 1.2 G INTRAVENOSO ( AMOXI +CLAV),"Indicaciones:Augmentine se utiliza en niños y adultos para tratar las siguientes infecciones:Infecciones del oído medio y de los senos nasales Infecciones del tracto respiratorio Infecciones del tracto urinarioInfecciones de la piel y tejidos blandos incluyendo infecciones dentales. Infecciones de huesos y articulacione Contraindicaciones:Hipersensibilidad a amoxicilina o ác. clavulánico; antecedente de hipersensibilidad a ß-lactámicos (penicilinas, cefalosporinas, carbapenem, monobactam); antes de iniciar tto. investigar reacción alérgica previa. Mononucleosis infecciosa y leucemia linfoide (mayor riesgo de exantema). I.H. grave, antecedente de ictericia o antecedente de I.H. grave con tto. previo.",AUMENTIN 1.2 G CADA 24 HORAS
2,NULL,2.2,NULL,NULL,2.2.5,CURAM 625 MG TABLETA ( AMOXI + CLAV),"Indicaciones:Para el tratamiento de las infecciones bacterianas donde la terapia oral está indicada.Infecciones de las vías respiratorias superiores y ORL: Sinusitis, tonsilitis y otitis media.Infecciones del tracto respiratorio inferior: Bronquitis aguda y crónica, neumonía y absceso pulmonar.Infecciones de piel y tejido blando: Celulitis, heridas infectadas y mordeduras.Infecciones del tracto urinario: Cistitis, uretritis, pielonefritis, infección pélvica, entre otras.Otras infecciones: Osteomielitis, septicemia, peritonitis e infecciones posoperatorias.Contraindicaciones:La amoxicilina no debe administrarse en pacientes con conocida alergia a la penicilina. Hay que tener presente alergia cruzada con otros derivados penicilínicos o cefalosporínicos.Embarazo Y Lactancia Efectos colaterales gastrointestinales: Diarrea, náuseas, vómitos y disturbios digestivos pueden ocurrir ocasionalmnte, pero de naturaleza transitoria. Estos efectos pueden atenuarse ingiriendo el preparado con alimentos.Reacciones de hipersensibilidad: Rash cutáneo, prurito, urticaria, fiebre y dolor de las articulacion.",CURAM 625 MG CADA 12 HORAS
2,NULL,2.2,NULL,NULL,2.2.6,CURAM 1 G TABLETA ( AMOXI + CLAV),"Indicaciones:Para el tratamiento de las infecciones bacterianas donde la terapia oral está indicada.Infecciones de las vías respiratorias superiores y ORL: Sinusitis, tonsilitis y otitis media.Infecciones del tracto respiratorio inferior: Bronquitis aguda y crónica, neumonía y absceso pulmonar.Infecciones de piel y tejido blando: Celulitis, heridas infectadas y mordeduras.Infecciones del tracto urinario: Cistitis, uretritis, pielonefritis, infección pélvica, entre otras.Otras infecciones: Osteomielitis, septicemia, peritonitis e infecciones posoperatorias.Contraindicaciones:La amoxicilina no debe administrarse en pacientes con conocida alergia a la penicilina. Hay que tener presente alergia cruzada con otros derivados penicilínicos o cefalosporínicos.Embarazo Y Lactancia Efectos colaterales gastrointestinales: Diarrea, náuseas, vómitos y disturbios digestivos pueden ocurrir ocasionalmnte, pero de naturaleza transitoria. Estos efectos pueden atenuarse ingiriendo el preparado con alimentos.Reacciones de hipersensibilidad: Rash cutáneo, prurito, urticaria, fiebre y dolor de las articulacion.",CURAM 1G CADA 12 HORAS
2,NULL,2.2,NULL,NULL,2.2.7,CURAM 250 MG SUSPENCION ( AMOXI + CLAV),"Indicaciones:Para el tratamiento de las infecciones bacterianas donde la terapia oral está indicada.Infecciones de las vías respiratorias superiores y ORL: Sinusitis, tonsilitis y otitis media.Infecciones del tracto respiratorio inferior: Bronquitis aguda y crónica, neumonía y absceso pulmonar.Infecciones de piel y tejido blando: Celulitis, heridas infectadas y mordeduras.Infecciones del tracto urinario: Cistitis, uretritis, pielonefritis, infección pélvica, entre otras.Otras infecciones: Osteomielitis, septicemia, peritonitis e infecciones posoperatorias.Contraindicaciones:La amoxicilina no debe administrarse en pacientes con conocida alergia a la penicilina. Hay que tener presente alergia cruzada con otros derivados penicilínicos o cefalosporínicos.Embarazo Y Lactancia Efectos colaterales gastrointestinales: Diarrea, náuseas, vómitos y disturbios digestivos pueden ocurrir ocasionalmnte, pero de naturaleza transitoria. Estos efectos pueden atenuarse ingiriendo el preparado con alimentos.Reacciones de hipersensibilidad: Rash cutáneo, prurito, urticaria, fiebre y dolor de las articulacion.",CURAM 250 MG CADA 12 HORAS
2,NULL,2.2,NULL,NULL,2.2.8,SINERGIA 1 G COMPRIMIDOS (AMOXI+CLAV),"Indicaciones:Infecciones del tracto respiratorio inferior. Otitis media y sinusitis. Amigdalitis aguda estreptocócica. Infecciones de piel y tejidos blandos. Infecciones de vías urinarias.Contraindicaciones:Hipersensibilidad a las penicilinas, alteraciones de la función hepática o mononucleosis infecciosa",SINERGIA 1 G CADA 12 HORAS
2,NULL,2.2,NULL,NULL,2.2.9,SINERGIA 625 MG COMPRIMIDOS (AMOXI+CLAV),"Indicaciones:Infecciones del tracto respiratorio inferior. Otitis media y sinusitis. Amigdalitis aguda estreptocócica. Infecciones de piel y tejidos blandos. Infecciones de vías urinarias.Contraindicaciones:Hipersensibilidad a las penicilinas, alteraciones de la función hepática o mononucleosis infecciosa",SINERGIA 625 MG CADA 12 HORAS
